experiment	cell	reads	length	unique	multimap	nomap	exonic	intronic	intergenic	rpkm1	max-correlation
SS2_15_0048	M10	956519	43	55.8	12.2	32.0	52.2	15.3	32.5	4329	0.56
SS2_15_0048	M11	850781	43	42.5	13.9	43.6	39.4	22.9	37.8	3426	0.52
SS2_15_0048	M12	903078	43	47.8	9.6	42.6	51.1	11.9	37.0	3434	0.50
SS2_15_0048	M13	941282	43	57.4	13.0	29.6	51.7	11.4	36.9	4817	0.60
SS2_15_0048	M14	519722	43	52.4	10.7	36.9	36.2	32.8	31.0	3696	0.51
SS2_15_0048	M15	519275	43	64.2	12.8	23.0	55.1	12.7	32.2	4553	0.58
SS2_15_0048	M16	641713	43	48.2	10.5	41.3	47.4	13.0	39.5	3241	0.49
SS2_15_0048	M17	636529	43	49.6	10.2	40.2	51.2	10.9	38.0	3535	0.52
SS2_15_0048	M18	804069	43	53.1	11.3	35.6	51.1	11.4	37.6	4016	0.54
SS2_15_0048	M19	752033	43	49.1	12.7	38.2	46.1	13.9	40.0	4143	0.54
SS2_15_0048	M2	573973	43	44.0	9.1	46.9	47.2	13.9	39.0	3394	0.49
SS2_15_0048	M20	597867	43	52.5	13.2	34.4	48.2	17.5	34.3	4318	0.57
SS2_15_0048	M21	863387	43	66.8	15.2	18.1	53.5	10.7	35.8	6104	0.65
SS2_15_0048	M22	796004	43	49.0	8.8	42.2	50.8	13.0	36.2	3330	0.50
SS2_15_0048	M23	597183	43	43.3	10.2	46.5	32.1	37.2	30.7	3696	0.49
SS2_15_0048	M24	394588	43	20.9	5.4	73.8	24.7	17.7	57.6	374	0.25
SS2_15_0048	M3	810441	43	56.4	12.5	31.1	52.2	10.6	37.2	4672	0.59
SS2_15_0048	M4	517265	43	54.7	12.2	33.1	51.9	11.0	37.1	4566	0.57
SS2_15_0048	M5	817507	43	54.6	11.7	33.7	51.7	11.2	37.1	3884	0.54
SS2_15_0048	M6	678518	43	54.6	10.7	34.7	53.3	10.8	36.0	4162	0.56
SS2_15_0048	M7	1107654	43	57.2	12.7	30.1	52.0	11.4	36.6	4917	0.60
SS2_15_0048	M8	651362	43	67.8	11.4	20.9	56.9	10.4	32.7	5527	0.65
SS2_15_0048	M9	900848	43	54.5	11.7	33.9	51.0	11.3	37.7	4351	0.56
SS2_15_0048	N1	622396	43	60.6	13.5	26.0	51.8	15.1	33.0	5241	0.57
SS2_15_0048	N10	1020584	43	57.5	10.5	32.0	57.2	9.2	33.6	3716	0.54
SS2_15_0048	N11	624651	43	57.4	13.2	29.4	52.5	14.8	32.7	4493	0.59
SS2_15_0048	N12	471162	43	53.1	9.5	37.4	52.8	16.8	30.4	3760	0.53
SS2_15_0048	N13	477524	43	24.6	15.0	60.3	27.8	19.4	52.8	1510	0.37
SS2_15_0048	N14	374059	43	45.5	10.2	44.2	47.8	19.5	32.7	2819	0.45
SS2_15_0048	N15	271038	43	60.2	14.2	25.6	51.1	14.8	34.1	4712	0.60
SS2_15_0048	N16	659744	43	51.4	9.8	38.8	52.9	10.7	36.4	3491	0.53
SS2_15_0048	N17	565414	43	52.9	10.5	36.6	53.8	10.3	35.9	3965	0.54
SS2_15_0048	N18	398986	43	36.4	10.6	53.0	30.5	19.5	50.0	1553	0.32
SS2_15_0048	N19	666845	43	51.6	10.8	37.5	51.8	11.3	36.9	3821	0.53
SS2_15_0048	N2	579922	43	68.2	12.2	19.6	56.6	10.6	32.7	5765	0.65
SS2_15_0048	N20	463828	43	65.7	16.9	17.4	52.2	12.3	35.5	6380	0.66
SS2_15_0048	N21	526407	43	55.8	15.2	29.0	49.1	14.5	36.4	5023	0.61
SS2_15_0048	N22	752813	43	59.9	14.7	25.4	50.7	11.5	37.9	5405	0.61
SS2_15_0048	N23	658573	43	54.7	12.6	32.7	50.2	15.7	34.1	4178	0.56
SS2_15_0048	N24	370698	43	19.7	4.7	75.6	23.9	17.8	58.3	331	0.26
SS2_15_0048	N3	537373	43	26.0	5.8	68.2	39.6	13.4	46.9	1099	0.34
SS2_15_0048	N4	425215	43	59.1	13.6	27.3	52.2	14.1	33.7	4348	0.57
SS2_15_0048	N5	498785	43	50.2	9.7	40.1	53.9	9.9	36.2	3720	0.53
SS2_15_0048	N6	486425	43	56.3	13.4	30.3	49.9	16.6	33.4	4551	0.57
SS2_15_0048	N7	707975	43	66.2	12.3	21.5	54.2	10.5	35.3	5291	0.63
SS2_15_0048	N8	360083	43	42.1	9.1	48.9	47.0	22.1	30.9	2661	0.46
SS2_15_0048	N9	578206	43	54.2	11.7	34.1	51.3	16.6	32.1	3869	0.57
SS2_15_0048	O1	415130	43	27.2	8.0	64.8	28.6	20.4	51.0	1842	0.37
SS2_15_0048	O10	841036	43	54.2	12.8	33.0	51.1	13.2	35.7	4361	0.56
SS2_15_0048	O11	433591	43	47.9	12.2	39.9	47.5	18.3	34.2	3798	0.54
SS2_15_0048	O12	800324	43	48.8	11.2	40.1	50.5	11.9	37.6	4034	0.56
SS2_15_0048	O13	470456	43	38.8	9.1	52.1	43.6	14.5	42.0	2435	0.44
SS2_15_0048	O14	661910	43	56.0	14.1	29.8	49.2	16.8	34.0	4781	0.57
SS2_15_0048	O15	502026	43	59.9	14.5	25.5	52.6	10.8	36.6	5283	0.63
SS2_15_0048	O16	685202	43	39.5	9.5	51.0	36.8	22.4	40.7	2912	0.44
SS2_15_0048	O17	508742	43	54.6	10.6	34.8	52.8	11.7	35.4	4113	0.56
SS2_15_0048	O18	553726	43	67.9	12.5	19.6	55.5	10.5	34.0	5982	0.67
SS2_15_0048	O19	696637	43	67.4	13.3	19.3	53.1	13.0	33.9	6234	0.67
SS2_15_0048	O2	370515	43	29.1	7.5	63.4	34.7	18.9	46.3	2231	0.42
SS2_15_0048	O20	470135	43	35.7	10.3	53.9	37.0	18.2	44.8	2823	0.47
SS2_15_0048	O21	576099	43	42.8	10.6	46.6	45.2	14.1	40.7	3749	0.54
SS2_15_0048	O22	669030	43	48.2	15.0	36.7	40.3	17.0	42.7	4437	0.56
SS2_15_0048	O23	472148	43	24.1	10.1	65.8	31.6	15.5	52.9	2054	0.43
SS2_15_0048	O24	661069	43	19.8	3.3	76.9	37.4	14.0	48.6	318	0.25
SS2_15_0048	O3	363491	43	36.1	8.1	55.8	43.7	13.4	42.9	4049	0.54
SS2_15_0048	O4	343860	43	60.5	11.2	28.3	53.9	15.9	30.3	4904	0.60
SS2_15_0048	O5	555175	43	50.2	8.8	41.0	49.4	15.0	35.5	3476	0.51
SS2_15_0048	O6	819321	43	47.4	10.1	42.5	49.9	12.8	37.4	3718	0.53
SS2_15_0048	O7	541315	43	37.8	11.0	51.2	36.5	19.0	44.5	3605	0.50
SS2_15_0048	O8	449113	43	41.7	9.0	49.3	45.4	15.3	39.3	2927	0.47
SS2_15_0048	O9	760282	43	56.4	12.0	31.6	51.2	12.1	36.7	4584	0.58
SS2_15_0048	P1	564991	43	47.6	11.6	40.9	49.4	17.4	33.2	4154	0.57
SS2_15_0048	P10	496077	43	38.9	13.0	48.1	31.3	31.8	36.9	3637	0.51
SS2_15_0048	P11	568308	43	69.3	12.0	18.8	55.3	14.4	30.2	6045	0.67
SS2_15_0048	P12	500834	43	45.3	9.2	45.5	49.5	12.2	38.3	3319	0.50
SS2_15_0048	P13	575655	43	45.6	11.5	42.8	46.7	12.8	40.5	3841	0.52
SS2_15_0048	P14	329857	43	21.2	10.5	68.3	17.9	40.4	41.7	2805	0.46
SS2_15_0048	P15	342938	43	38.0	7.1	54.9	45.7	14.5	39.7	2230	0.41
SS2_15_0048	P16	427164	43	34.0	8.6	57.4	35.3	33.6	31.0	2906	0.46
SS2_15_0048	P17	430557	43	54.0	13.1	32.9	50.1	16.7	33.2	4485	0.58
SS2_15_0048	P18	451342	43	54.1	12.0	33.9	51.5	11.2	37.3	4659	0.60
SS2_15_0048	P19	595905	43	43.1	8.5	48.4	49.9	13.5	36.7	3495	0.51
SS2_15_0048	P2	425038	43	43.3	9.3	47.5	45.6	22.6	31.8	3580	0.51
SS2_15_0048	P20	416742	43	43.3	9.1	47.5	48.5	12.7	38.8	2955	0.48
SS2_15_0048	P21	626308	43	56.6	14.9	28.5	48.3	16.2	35.5	5688	0.64
SS2_15_0048	P22	471771	43	33.7	10.1	56.2	34.0	31.2	34.9	2368	0.42
SS2_15_0048	P23	509404	43	50.2	9.7	40.1	49.4	13.3	37.2	3987	0.53
SS2_15_0048	P24	472147	43	20.6	4.2	75.3	33.9	39.0	27.0	274	0.26
SS2_15_0048	P3	523309	43	35.1	7.0	58.0	43.0	27.2	29.8	2149	0.40
SS2_15_0048	P4	411694	43	57.6	10.9	31.5	53.3	12.0	34.7	4583	0.59
SS2_15_0048	P5	523602	43	63.5	11.5	24.9	55.4	11.0	33.6	5005	0.63
SS2_15_0048	P6	434719	43	52.1	11.8	36.1	49.3	11.9	38.8	3975	0.55
SS2_15_0048	P7	538487	43	42.6	9.7	47.7	38.6	20.5	40.9	2916	0.42
SS2_15_0048	P8	441438	43	44.0	6.6	49.4	45.6	19.8	34.6	2727	0.44
SS2_15_0048	P9	384330	43	40.3	9.3	50.4	39.0	18.2	42.8	3344	0.49
